feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CauchyNoise
296,cov_GraphicalLassoCV,mi_kernel_W-0.25,0.05677682790084296,96,96
297,cov_GraphicalLassoCV,tlmi_gaussian,0.11310263869971338,96,96
298,cov_GraphicalLassoCV,tlmi_kraskov_NN-4,0.03943403786527758,96,96
299,cov_GraphicalLassoCV,tlmi_kraskov_NN-4_DCE,0.04801569665443858,96,96
300,cov_GraphicalLassoCV,tlmi_kernel_W-0.25,0.19451515543802228,96,96
301,cov_GraphicalLassoCV,te_kraskov_NN-4_k-max-10_tau-max-4,0.14272002095177297,96,96
302,cov_GraphicalLassoCV,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.10413882678275677,96,96
303,cov_GraphicalLassoCV,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.1264163393736797,96,96
304,cov_GraphicalLassoCV,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.025567984634225605,96,96
305,cov_GraphicalLassoCV,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.02229801058496439,96,96
