feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1)-Symmetric,n_VAR(1)-Unidirectional
273,xcorr-sq_mean_sig-False,cce_kozachenko__ij,0.37278683337744445,96,96
274,xcorr-sq_mean_sig-False,cce_kozachenko__ji,0.12883884888084912,96,96
275,xcorr-sq_mean_sig-False,cce_kernel_W-0.5__ij,0.31897536473332877,96,96
276,xcorr-sq_mean_sig-False,cce_kernel_W-0.5__ji,0.1434603855102181,96,96
277,xcorr-sq_mean_sig-False,di_gaussian__ij,0.10471025718566851,96,96
278,xcorr-sq_mean_sig-False,di_gaussian__ji,0.08266817545413313,96,96
279,xcorr-sq_mean_sig-False,di_kozachenko__ij,0.35019763760091155,96,96
280,xcorr-sq_mean_sig-False,di_kozachenko__ji,0.1362619487457858,96,96
281,xcorr-sq_mean_sig-False,di_kernel_W-0.5__ij,0.31427034001683307,96,96
282,xcorr-sq_mean_sig-False,di_kernel_W-0.5__ji,0.17086084155038217,96,96
283,xcorr-sq_mean_sig-False,mi_gaussian,0.1226403217131381,96,96
284,xcorr-sq_mean_sig-False,mi_kraskov_NN-4,0.40320716682172286,96,96
